name,ngpus,TP,PP,EP,CP,DP,sub_seq_length,micro_batch_size,num_of_micro_batches,pipeline_parallelism_bubble_rate,data_parallel_sharding_strategy,total_memory_gb,model_and_optimizer_states_memory_gb,activations_memory_gb,cross_entropy_activation_memory_gb,practice_activations_memory_gb,expert_parameters_m,non_expert_parameters_m,expert_layers_activations_gb,practice_expert_layers_activations_gb,non_expert_layers_activations_gb,mlp_activation_mb,moe_activation_mb,token_imbalance_hypothesis
LLaMA-3.1 405B,8,2,1,1,1,4,8192,1,1024.0,0.0,NO_OP,3686.244140625,3401.7890625,284.455078125,4.892578125,284.455078125,0.0,193524.0,0.0,0.0,284.455078125,1376.0,128.0,1.0
LLaMA-3.1 405B,8,2,1,1,1,4,8192,2,512.0,0.0,NO_OP,3970.69921875,3401.7890625,568.91015625,9.78515625,568.91015625,0.0,193524.0,0.0,0.0,568.91015625,2752.0,256.0,1.0
LLaMA-3.1 405B,8,2,1,1,1,4,8192,4,256.0,0.0,NO_OP,4539.609375,3401.7890625,1137.8203125,19.5703125,1137.8203125,0.0,193524.0,0.0,0.0,1137.8203125,5504.0,512.0,1.0
LLaMA-3.1 405B,8,2,1,1,1,4,8192,1,1024.0,0.0,OPTIMIZER_STATES,1985.349609375,1700.89453125,284.455078125,4.892578125,284.455078125,0.0,193524.0,0.0,0.0,284.455078125,1376.0,128.0,1.0
LLaMA-3.1 405B,8,2,1,1,1,4,8192,2,512.0,0.0,OPTIMIZER_STATES,2269.8046875,1700.89453125,568.91015625,9.78515625,568.91015625,0.0,193524.0,0.0,0.0,568.91015625,2752.0,256.0,1.0
LLaMA-3.1 405B,8,2,1,1,1,4,8192,4,256.0,0.0,OPTIMIZER_STATES,2838.71484375,1700.89453125,1137.8203125,19.5703125,1137.8203125,0.0,193524.0,0.0,0.0,1137.8203125,5504.0,512.0,1.0
LLaMA-3.1 405B,8,2,1,1,1,4,8192,1,1024.0,0.0,OPTIMIZER_STATES_AND_GRADS,1418.384765625,1133.9296875,284.455078125,4.892578125,284.455078125,0.0,193524.0,0.0,0.0,284.455078125,1376.0,128.0,1.0
LLaMA-3.1 405B,8,2,1,1,1,4,8192,2,512.0,0.0,OPTIMIZER_STATES_AND_GRADS,1702.83984375,1133.9296875,568.91015625,9.78515625,568.91015625,0.0,193524.0,0.0,0.0,568.91015625,2752.0,256.0,1.0
LLaMA-3.1 405B,8,2,1,1,1,4,8192,4,256.0,0.0,OPTIMIZER_STATES_AND_GRADS,2271.75,1133.9296875,1137.8203125,19.5703125,1137.8203125,0.0,193524.0,0.0,0.0,1137.8203125,5504.0,512.0,1.0
LLaMA-3.1 405B,8,2,1,1,1,4,8192,1,1024.0,0.0,FULLY_SHARD,1040.408203125,755.953125,284.455078125,4.892578125,284.455078125,0.0,193524.0,0.0,0.0,284.455078125,1376.0,128.0,1.0
LLaMA-3.1 405B,8,2,1,1,1,4,8192,2,512.0,0.0,FULLY_SHARD,1324.86328125,755.953125,568.91015625,9.78515625,568.91015625,0.0,193524.0,0.0,0.0,568.91015625,2752.0,256.0,1.0
LLaMA-3.1 405B,8,2,1,1,1,4,8192,4,256.0,0.0,FULLY_SHARD,1893.7734375,755.953125,1137.8203125,19.5703125,1137.8203125,0.0,193524.0,0.0,0.0,1137.8203125,5504.0,512.0,1.0
LLaMA-3.1 405B,8,2,1,1,2,2,4096,1,2048.0,0.0,NO_OP,3544.0166015625,3401.7890625,142.2275390625,2.4462890625,142.2275390625,0.0,193524.0,0.0,0.0,142.2275390625,688.0,64.0,1.0
LLaMA-3.1 405B,8,2,1,1,2,2,4096,2,1024.0,0.0,NO_OP,3686.244140625,3401.7890625,284.455078125,4.892578125,284.455078125,0.0,193524.0,0.0,0.0,284.455078125,1376.0,128.0,1.0
LLaMA-3.1 405B,8,2,1,1,2,2,4096,4,512.0,0.0,NO_OP,3970.69921875,3401.7890625,568.91015625,9.78515625,568.91015625,0.0,193524.0,0.0,0.0,568.91015625,2752.0,256.0,1.0
LLaMA-3.1 405B,8,2,1,1,2,2,4096,1,2048.0,0.0,OPTIMIZER_STATES,2410.0869140625,2267.859375,142.2275390625,2.4462890625,142.2275390625,0.0,193524.0,0.0,0.0,142.2275390625,688.0,64.0,1.0
LLaMA-3.1 405B,8,2,1,1,2,2,4096,2,1024.0,0.0,OPTIMIZER_STATES,2552.314453125,2267.859375,284.455078125,4.892578125,284.455078125,0.0,193524.0,0.0,0.0,284.455078125,1376.0,128.0,1.0
LLaMA-3.1 405B,8,2,1,1,2,2,4096,4,512.0,0.0,OPTIMIZER_STATES,2836.76953125,2267.859375,568.91015625,9.78515625,568.91015625,0.0,193524.0,0.0,0.0,568.91015625,2752.0,256.0,1.0
LLaMA-3.1 405B,8,2,1,1,2,2,4096,1,2048.0,0.0,OPTIMIZER_STATES_AND_GRADS,2032.1103515625,1889.8828125,142.2275390625,2.4462890625,142.2275390625,0.0,193524.0,0.0,0.0,142.2275390625,688.0,64.0,1.0
LLaMA-3.1 405B,8,2,1,1,2,2,4096,2,1024.0,0.0,OPTIMIZER_STATES_AND_GRADS,2174.337890625,1889.8828125,284.455078125,4.892578125,284.455078125,0.0,193524.0,0.0,0.0,284.455078125,1376.0,128.0,1.0
LLaMA-3.1 405B,8,2,1,1,2,2,4096,4,512.0,0.0,OPTIMIZER_STATES_AND_GRADS,2458.79296875,1889.8828125,568.91015625,9.78515625,568.91015625,0.0,193524.0,0.0,0.0,568.91015625,2752.0,256.0,1.0
LLaMA-3.1 405B,8,2,1,1,2,2,4096,1,2048.0,0.0,FULLY_SHARD,1654.1337890625,1511.90625,142.2275390625,2.4462890625,142.2275390625,0.0,193524.0,0.0,0.0,142.2275390625,688.0,64.0,1.0
LLaMA-3.1 405B,8,2,1,1,2,2,4096,2,1024.0,0.0,FULLY_SHARD,1796.361328125,1511.90625,284.455078125,4.892578125,284.455078125,0.0,193524.0,0.0,0.0,284.455078125,1376.0,128.0,1.0
LLaMA-3.1 405B,8,2,1,1,2,2,4096,4,512.0,0.0,FULLY_SHARD,2080.81640625,1511.90625,568.91015625,9.78515625,568.91015625,0.0,193524.0,0.0,0.0,568.91015625,2752.0,256.0,1.0
